,incident_id,mine_type,mine_location,country,worker_age,years_experience,employment_type,job_title,gender,incident_date,day_of_week,incident_time,shift_type,hours_into_shift,equipment_involved,task_at_incident,injury_mechanism,injury_type,body_part_injured,injury_severity,ppe_worn
0,INC-04489389,artisanal,surface,tanzania,33,6.0,operator,laborer,male,2024-09-26,tuesday,11.0,morning,0.3,mobile_equipment,directing_equipment,falling,other,hand_finger,days_away,none
1,INC-B73294FB,formal_small,surface,tanzania,56,33.7,contractor,other,male,2021-07-28,friday,14.29,evening,5.5,light_vehicle,operating_equipment,other,fracture,foot_lower_leg,days_away,partial
2,INC-59915C7F,artisanal,underground,south_africa,33,3.6,contractor,driller,male,2020-03-29,wednesday,12.0,morning,2.6,earth_moving,other,other,abrasion,multiple,days_away,none
3,INC-58CFCAA0,artisanal,surface,south_africa,36,9.5,operator,supervisor,female,2023-11-30,thursday,14.95,evening,5.5,haul_truck,operating_equipment,struck_by_object,other,torso,days_away,none
4,INC-F2889CF6,formal_large,surface,ghana,59,25.3,operator,mechanic_repairman,female,2021-07-26,wednesday,13.49,morning,0.5,mobile_equipment,other,other,laceration,torso,restricted_work,full
5,INC-EBD47E53,artisanal,surface,south_africa,26,10.0,operator,truck_operator,male,2023-03-16,friday,6.71,morning,1.8,components_parts,operating_equipment,other,fracture,multiple,temporary_disability,none
6,INC-AB5B1AA1,artisanal,underground,ghana,26,10.0,operator,laborer,male,2020-10-16,tuesday,10.59,morning,3.2,drill_rig,drilling,struck_by_rock,laceration,foot_lower_leg,days_away,none
7,INC-3F9DCA77,artisanal,surface,other,29,4.3,operator,excavator_operator,male,2021-02-02,thursday,12.18,morning,7.4,haul_truck,operating_equipment,other,other,hand_finger,first_aid,none
8,INC-52042658,formal_large,underground,south_africa,46,18.9,operator,other,male,2023-10-14,friday,13.3,morning,9.5,drill_rig,other,other,contusion,torso,days_away,full
9,INC-B9E6B92E,formal_small,surface,ghana,31,13.0,operator,truck_operator,male,2020-02-23,monday,12.14,morning,7.9,haul_truck,maintenance_repair,hit_by_moving,laceration,foot_lower_leg,first_aid,none
10,INC-497A74DB,formal_small,surface,tanzania,59,21.6,operator,welder,male,2022-06-27,wednesday,11.44,morning,0.2,components_parts,operating_equipment,struck_by_object,laceration,foot_lower_leg,temporary_disability,full
11,INC-071E850A,artisanal,surface,zimbabwe,21,5.0,operator,other,male,2023-10-12,thursday,12.29,morning,5.4,mobile_equipment,maintenance_repair,pit_collapse,contusion,torso,first_aid,none
12,INC-6E916EE0,artisanal,surface,south_africa,33,4.4,operator,welder,male,2022-05-08,monday,11.41,morning,1.1,hand_tools,other,pit_collapse,contusion,multiple,temporary_disability,none
13,INC-B3B54A89,artisanal,underground,south_africa,38,2.8,operator,blaster,female,2020-10-29,thursday,9.24,morning,2.5,components_parts,other,other,abrasion,multiple,days_away,none
14,INC-A324F925,formal_small,surface,other,33,15.0,contractor,truck_operator,male,2023-03-04,friday,10.84,morning,5.8,haul_truck,directing_equipment,vehicle_motion,burns,torso,temporary_disability,full
15,INC-62880972,formal_large,surface,south_africa,46,28.0,operator,mechanic_repairman,male,2020-07-24,wednesday,13.73,morning,5.9,haul_truck,maintenance_repair,other,multiple,hand_finger,permanent_disability,full
16,INC-40695B44,formal_small,surface,ethiopia,40,5.7,operator,other,male,2022-11-25,tuesday,10.54,morning,0.7,mobile_equipment,lifting_lowering,other,amputation,torso,fatality,full
17,INC-10A300A7,formal_large,surface,drc,38,19.6,operator,truck_operator,male,2022-02-06,monday,12.62,morning,6.6,light_vehicle,other,other,laceration,multiple,restricted_work,none
18,INC-223AB105,artisanal,surface,ghana,25,9.0,operator,mechanic_repairman,female,2022-09-17,monday,13.43,morning,5.0,mobile_equipment,lifting_lowering,struck_by_object,fracture,torso,restricted_work,none
19,INC-EE7EACAF,artisanal,surface,tanzania,33,15.1,operator,excavator_operator,male,2024-08-10,tuesday,15.05,evening,5.4,haul_truck,other,falling,laceration,head_face,restricted_work,none
20,INC-E48CB22B,artisanal,underground,south_africa,26,1.8,operator,driller,male,2024-06-04,thursday,2.27,night,4.6,none,other,falling_object,fracture,foot_lower_leg,temporary_disability,none
21,INC-FF87FB99,formal_small,underground,ghana,50,31.6,operator,driller,male,2023-08-04,tuesday,12.54,morning,2.1,components_parts,drilling,other,laceration,foot_lower_leg,permanent_disability,full
22,INC-7C4973EB,artisanal,underground,ghana,23,7.0,operator,other,male,2022-06-21,thursday,12.3,morning,2.8,none,other,falling_object,contusion,torso,temporary_disability,none
23,INC-9083C582,artisanal,surface,other,45,17.3,contractor,welder,male,2023-12-28,wednesday,12.33,morning,4.0,mobile_equipment,maintenance_repair,falling,fracture,multiple,fatality,none
24,INC-1B744342,artisanal,surface,south_africa,23,7.0,operator,truck_operator,female,2020-07-02,tuesday,12.12,morning,9.4,none,directing_equipment,struck_by_object,other,hand_finger,days_away,none
25,INC-B9D91111,formal_large,surface,south_africa,45,16.5,operator,excavator_operator,male,2021-05-07,friday,14.15,evening,4.7,mobile_equipment,lifting_lowering,other,amputation,hand_finger,permanent_disability,partial
26,INC-EFD0AEF7,formal_small,surface,other,47,20.7,operator,excavator_operator,male,2022-04-27,tuesday,11.38,morning,3.8,mobile_equipment,directing_equipment,struck_by_object,fracture,hand_finger,temporary_disability,full
27,INC-C0CA3515,formal_large,surface,south_africa,35,12.5,operator,mechanic_repairman,female,2024-03-04,sunday,10.02,morning,3.9,components_parts,lifting_lowering,other,contusion,foot_lower_leg,days_away,none
28,INC-98C32030,formal_large,surface,other,41,17.1,contractor,welder,male,2021-12-07,friday,13.93,morning,4.2,light_vehicle,directing_equipment,other,laceration,head_face,fatality,full
29,INC-A72444FE,artisanal,surface,tanzania,21,3.9,operator,laborer,male,2022-01-28,friday,10.35,morning,8.3,haul_truck,other,other,abrasion,hand_finger,first_aid,none
30,INC-EBF40C6E,artisanal,surface,ethiopia,32,16.0,operator,truck_operator,male,2024-10-02,thursday,12.81,morning,10.9,mobile_equipment,operating_equipment,pit_collapse,fracture,torso,days_away,none
31,INC-C532DB30,artisanal,underground,drc,32,16.0,operator,driller,male,2024-11-23,wednesday,14.22,evening,0.7,none,other,hit_by_moving,fracture,foot_lower_leg,temporary_disability,none
32,INC-9C27FFA8,formal_large,surface,tanzania,35,14.3,contractor,other,male,2020-03-09,tuesday,12.55,morning,5.0,mobile_equipment,other,other,fracture,multiple,temporary_disability,partial
33,INC-AF98C25F,formal_small,surface,south_africa,41,5.2,operator,truck_operator,male,2022-11-06,thursday,17.05,evening,5.4,haul_truck,operating_equipment,vehicle_motion,laceration,multiple,days_away,full
34,INC-27F6AB04,formal_small,surface,other,41,23.0,contractor,welder,male,2023-06-18,thursday,10.73,morning,3.5,mobile_equipment,operating_equipment,other,fracture,torso,first_aid,none
35,INC-F41E3E33,formal_large,surface,other,60,24.4,operator,laborer,male,2023-01-11,friday,14.27,evening,4.3,mobile_equipment,lifting_lowering,struck_by_object,fracture,foot_lower_leg,first_aid,full
36,INC-14B38D90,formal_large,underground,other,40,22.0,contractor,driller,male,2024-11-02,tuesday,10.12,morning,7.8,earth_moving,other,falling_object,fracture,foot_lower_leg,restricted_work,full
37,INC-5DB54619,formal_small,surface,ethiopia,22,4.0,contractor,excavator_operator,male,2024-07-29,sunday,12.59,morning,4.5,none,other,hit_by_moving,fracture,hand_finger,first_aid,full
38,INC-A8A7D3CF,formal_large,underground,zimbabwe,56,8.7,contractor,other,female,2021-04-03,thursday,2.55,night,7.4,none,other,falling_object,fracture,foot_lower_leg,days_away,partial
39,INC-CFB3D9FD,artisanal,underground,zimbabwe,35,10.0,contractor,other,male,2024-09-27,thursday,11.31,morning,6.9,earth_moving,other,falling_object,contusion,torso,first_aid,none
40,INC-A91CAF3B,formal_small,surface,south_africa,47,22.0,contractor,mechanic_repairman,male,2022-02-07,tuesday,12.71,morning,7.1,none,other,struck_by_object,amputation,upper_extremity,days_away,partial
41,INC-A957FB45,artisanal,surface,zimbabwe,44,6.6,contractor,welder,male,2020-02-02,monday,11.87,morning,4.9,haul_truck,other,struck_by_object,laceration,foot_lower_leg,fatality,none
42,INC-839295DB,artisanal,surface,ethiopia,25,3.8,operator,other,male,2021-10-19,friday,15.01,evening,0.2,mobile_equipment,other,struck_by_object,abrasion,torso,permanent_disability,none
43,INC-6ED6FE6A,formal_large,surface,tanzania,41,18.5,operator,truck_operator,male,2021-02-28,monday,14.64,evening,1.8,haul_truck,cleaning_clearing,vehicle_motion,amputation,hand_finger,restricted_work,full
44,INC-3B030997,artisanal,surface,ghana,26,8.0,operator,mechanic_repairman,male,2024-08-16,friday,12.39,morning,7.8,mobile_equipment,operating_equipment,struck_by_object,abrasion,upper_extremity,restricted_work,none
45,INC-D4CCAC8A,artisanal,underground,zimbabwe,42,20.3,operator,blaster,male,2023-01-26,monday,3.42,night,8.8,components_parts,other,fall_from_height,laceration,torso,restricted_work,none
46,INC-138AD149,formal_small,surface,ethiopia,38,20.0,operator,mechanic_repairman,male,2021-07-18,friday,11.81,morning,1.9,mobile_equipment,other,other,laceration,multiple,first_aid,none
47,INC-9660E371,formal_large,underground,ghana,34,16.0,operator,driller,male,2020-01-07,monday,11.72,morning,4.9,drill_rig,drilling,hit_by_moving,laceration,multiple,days_away,none
48,INC-8529ECD9,artisanal,surface,other,37,4.0,contractor,welder,male,2021-11-03,saturday,16.05,evening,4.1,components_parts,cleaning_clearing,falling,laceration,multiple,fatality,none
49,INC-D0CFB365,formal_large,underground,tanzania,61,11.4,operator,mechanic_repairman,male,2021-08-02,friday,13.09,morning,4.6,none,drilling,struck_by_rock,other,multiple,fatality,full
50,INC-EA19E73D,formal_large,surface,south_africa,43,20.9,operator,mechanic_repairman,male,2022-03-29,monday,15.04,evening,0.3,mobile_equipment,other,vehicle_motion,fracture,head_face,days_away,full
51,INC-10898EEE,formal_large,surface,south_africa,26,8.0,operator,other,male,2020-12-24,tuesday,13.96,morning,5.4,mobile_equipment,other,fall_slip,fracture,torso,first_aid,full
52,INC-F01BA81F,artisanal,surface,tanzania,36,20.0,operator,other,male,2022-09-05,friday,13.08,morning,4.3,mobile_equipment,maintenance_repair,other,fracture,foot_lower_leg,days_away,none
